Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775523378,500,,Aggregated,378.200000,0.000000,22,36,50,58,100,210,350,2300,3400,3400,3400,9227,3087,22,79.6862172862663,2.0661000162363052,3434.9775000009686,1175.1143383548283
1775523379,500,,Aggregated,375.900000,0.000000,21,35,48,56,100,200,340,2200,3400,3400,3400,9620,3087,21,77.19461271317755,2.0661000162363052,3434.9775000009686,1192.1099792099792
1775523380,500,,Aggregated,375.900000,0.000000,21,34,46,55,96,190,340,1900,3400,3400,3400,10025,3087,21,74.75263887293465,2.0661000162363052,3434.9775000009686,1217.3518204488778
1775523381,500,,Aggregated,378.000000,0.000000,21,35,49,58,110,190,330,1900,3400,3400,3400,10373,3087,21,75.01483055057967,2.0661000162363052,3434.9775000009686,1228.9487130049165
1775523382,500,,Aggregated,374.700000,0.000000,22,37,52,64,110,210,340,1900,3400,3400,3400,10626,3087,22,76.83724664044433,2.0661000162363052,3434.9775000009686,1237.7746094485226
1775523383,500,,Aggregated,378.600000,0.000000,22,37,53,66,120,210,420,1900,3400,3400,3400,10685,3087,22,81.18734813301188,2.0661000162363052,3434.9775000009686,1242.1834347215722
1775523384,500,,Aggregated,379.100000,0.000000,22,38,53,68,120,220,1100,2000,3400,3400,3400,10730,3087,22,89.28218118370991,2.0661000162363052,3434.9775000009686,1246.230475302889
1775523385,500,,Aggregated,364.400000,0.000000,24,43,62,84,200,1500,2200,2400,3400,3400,3400,11233,3087,24,163.02589540643865,2.0661000162363052,3434.9775000009686,1266.939018961987
1775523386,500,,Aggregated,329.200000,0.000000,23,41,59,81,190,1300,2200,2300,3400,3400,3400,11570,3087,23,158.8650273898439,2.0661000162363052,3434.9775000009686,1274.218496110631
1775523387,500,,Aggregated,298.000000,0.000000,23,39,56,77,180,1200,2200,2300,3400,3400,3400,11962,3087,23,154.25063679154283,2.0661000162363052,3434.9775000009686,1288.283146630998
1775523388,500,,Aggregated,310.900000,0.000000,23,39,55,74,160,1100,2200,2300,3400,3400,3400,12330,3087,23,150.378669026804,2.0661000162363052,3434.9775000009686,1296.2083536090836
1775523389,500,,Aggregated,307.100000,0.000000,23,38,54,72,160,840,2200,2300,3400,3400,3400,12759,3087,23,146.36749891840967,2.0661000162363052,3434.9775000009686,1316.8555529430207
1775523390,500,,Aggregated,306.900000,0.000000,22,36,52,69,150,710,2200,2300,3400,3400,3400,13143,3087,22,142.5409051586612,2.0661000162363052,3434.9775000009686,1322.0029673590504
1775523392,500,,Aggregated,307.300000,0.000000,23,38,56,77,190,610,2200,2300,3400,3400,3400,13468,3087,23,143.26582970000678,2.0661000162363052,3434.9775000009686,1332.061776061776
1775523393,500,,Aggregated,305.100000,0.000000,24,40,60,83,190,530,2200,2300,3400,3400,3400,13846,3087,24,142.4540741224496,2.0661000162363052,3434.9775000009686,1335.2186913187925
1775523394,500,,Aggregated,302.000000,0.000000,25,44,65,87,190,420,2200,2300,3400,3400,3400,14257,3087,25,140.8474802342397,2.0661000162363052,3434.9775000009686,1344.9845689836573
