Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/dashboard/[company_id],35074,1982,93,240.61782258377886,2.0661000162363052,3822.672499984037,188.7276044933569,195.65285936135868,11.056166027661883,93,170,250,360,580,1000,1800,2100,3400,3800,3800
GET,/api/v1/report/[company_id],13899,756,95,239.8883180802356,2.08170001860708,3853.1507999869063,5985.230016547953,77.53261938368946,4.217185427301909,95,170,250,350,570,980,1800,2100,3500,3800,3900
GET,/health,7044,401,77,220.30854122660654,2.2683999850414693,3710.05839999998,23.08375922771153,39.29345787025747,2.236893328502732,77,150,220,320,520,920,1800,2100,3500,3700,3700
,Aggregated,56017,3139,92,237.88297493083928,2.0661000162363052,3853.1507999869063,1606.1328882303587,312.4789366153056,17.510244783466526,92,170,240,350,570,980,1800,2100,3500,3800,3900
