Method,Name,Error,Occurrences
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3311ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3578ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3354ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3407ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3325ms > 3000ms'),2
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3361ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3506ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3468ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3399ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3758ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3385ms > 3000ms'),1
